study;year;scale;weeks;baseline;k_ad_arms;drugs;cls;all_n;all_sd;all_m;pooled_sd;pooled_m;placebo_n;placebo_sd;placebo_m
NKD20006 (NCT00048204);;HAMD17;8.0;24.7;1;paroxetine;SSRI;117.0;7.9;11.1;7.9;11.1;118.0;7.8;10.9
Rapaport2009 (BRL-29060/874) (NCT00067444);2009.0;HAMD17;10.0;22.74;1;paroxetine;SSRI;173.0;7.996;12.11;7.996000000000001;12.109999999999998;178.0;8.045;8.85
Higuchi2011 (PCR112810, NCT00866294);2011.0;HAMD17;8.0;22.7;2;paroxetine|paroxetine;SSRI;241.0;7.385;12.65;7.465100648014941;12.696680497925312;171.0;8.11;10.4
Learned2012b Study2 (NCT00420641);2012.0;MADRS;8.0;30.3;1;paroxetine;SSRI;166.0;10.296981999380721;19.11;10.296981999380721;19.11;156.0;10.231565152221153;14.95
Keller2006c (Study062) (NCT00048607);2006.0;HAMD17;8.0;28.3;1;paroxetine;SSRI;161.0;8.05;17.25;8.05;17.25;154.0;8.87;14.0
Griebel2012b (Study DF15879) (NCT00361491);2012.0;HAMD17;8.0;24.9;1;paroxetine;SSRI;79.0;7.4;16.1;7.4;16.1;76.0;6.97;12.75
Bosc1997a (Study 014 - Andreoli2002);1997.0;HAMD21;8.0;26.8;2;fluoxetine|reboxetine;SNRI|SSRI;253.0;8.45;13.415;8.433290377304044;13.414861660079051;128.0;8.45;8.64
Study 049;;HAMD21;6.0;25.1;1;reboxetine;SNRI;101.0;5.443106736761622;9.3;5.443106736761622;9.3;101.0;5.443106736761622;8.3
Study 045;;HAMD21;6.0;26.2;2;reboxetine|reboxetine;SNRI;174.0;8.45;9.55;8.479231428823404;9.560919540229884;86.0;8.45;11.3
Clayton2003 (Study 050);2003.0;HAMD21;8.0;25.6;2;fluoxetine|reboxetine;SNRI|SSRI;288.0;8.45;11.95;8.51356675050657;11.95;143.0;8.45;11.1
M/2020/0046 (Study 046);;HAMD21;8.0;23.0;2;paroxetine|reboxetine;SNRI|SSRI;495.0;8.45;12.0;8.456262991846065;11.99090909090909;247.0;8.45;11.5
M/2020/0047 (Study 047);;HAMD21;8.0;24.2;2;paroxetine|reboxetine;SNRI|SSRI;480.0;7.270673617699992;11.4;7.286318451279994;11.403333333333334;239.0;7.270673617699992;10.1
Reimherr1990 (SER 104 - FDA);1990.0;HAMD17;8.0;23.18;2;amitriptyline|sertraline;SSRI|tricyclic;286.0;8.105;12.15;8.105816742284635;12.153426573426573;141.0;7.85;8.16
Doogan1994;1994.0;MADRS;6.0;27.9;1;sertraline;SSRI;83.0;9.96;15.4;9.96;15.4;90.0;9.96;12.1
Lydiard1997;1997.0;HAMD17;8.0;22.1;2;amitriptyline|sertraline;SSRI|tricyclic;223.0;6.85;11.95;6.888578947120943;11.892825112107623;115.0;6.97;8.8
Buchsbaum1997;1997.0;HAMD24;10.0;32.0;1;sertraline;SSRI;7.0;9.32;17.6;9.320000000000002;17.6;10.0;9.32;12.5
