study,scale,is_change,drug,year,n_drug,m_drug,sd_drug,n_pbo,m_pbo,sd_pbo,base_drug,base_pbo,lnvr,lnvr_v,lnmr,g,g_v
Tollefson1995,HAMD17,False,fluoxetine,1995,326.0,14.0,7.7,329.0,15.7,7.4,22.2,22.1,0.03975439994407322,0.0030628517823639775,-0.11460338273900374,-0.22488299567640585,0.006131606864252503
Tomarken2004,HAMD17,False,bupropion,2004,9.0,12.6,7.52,9.0,16.3,7.52,21.7,21.7,0.0,0.125,-0.25746829385528436,-0.46859169199594747,0.20778597746368296
Tourian2009 (NCT00384033),HAMD17,True,desvenlafaxine 50mg,2009,148.0,-9.8,7.76,160.0,-8.7,7.76,23.0,24.0,0.0002567064561673723,0.006546014632268001,0.11905936001598837,-0.1414048604496297,0.012975536299127415
Tourian2009 (NCT00384033),HAMD17,True,desvenlafaxine 100mg,2009,150.0,-10.5,7.76,160.0,-8.7,7.76,23.0,24.0,0.00021105060993626247,0.006500358786036891,0.18805223150293982,-0.2313934693945917,0.01294028364781013
Tourian2009 (NCT00384033),HAMD17,True,duloxetine,2009,157.0,-10.3,7.76,160.0,-8.7,7.76,23.0,24.0,6.047411707789038e-05,0.00634978229317852,0.16882086957505224,-0.20569425906667885,0.012626197421827821
Trivedi2004 (29060/810),HAMD17,True,paroxetine,2004,143.0,-12.4,7.1749,142.0,-10.0,7.149,23.5,23.8,0.003591364951398463,0.0070672260513435226,0.2151113796169455,-0.33421271384610274,0.014157202639855933
VEN 600A-303 (FDA),HAMD21,True,venlafaxine,unpublished,69.0,-10.14,8.45,79.0,-9.89,8.45,23.63,24.59,0.0009426847662141781,0.013763197586726998,0.024963852528416326,-0.029433556284064268,0.026875209940455686
VEN 600A-313 (FDA),HAMD21,True,venlafaxine 75mg,unpublished,72.0,-10.92,6.6270815894428745,75.0,-9.49,8.199049274773131,25.57,25.39,-0.21256818398202015,0.013799010277883519,0.14035735769492244,-0.19042088348044311,0.027064600003209784
VEN 600A-313 (FDA),HAMD21,True,venlafaxine 200mg,unpublished,77.0,-11.83,9.771016960103386,75.0,-9.49,8.199049274773131,25.57,25.39,0.1752245358840241,0.01333570412517781,0.22040006536845883,-0.25784467208418554,0.026276762306244098
VEN XR 367 (FDA),HAMD21,True,venlafaxine 75mg,unpublished,82.0,-15.59,10.717204886763948,81.0,-13.1,10.627369045853287,26.49,26.6,0.00834056399764775,0.01242283950617284,0.17401745286257925,-0.2322178791767595,0.024478248917286605
VEN XR 367 (FDA),HAMD21,True,venlafaxine 150mg,unpublished,75.0,-14.63,10.619192175884237,81.0,-13.1,10.627369045853287,27.11,26.6,-0.0002629556016260949,0.013006756756756757,0.11046198482492725,-0.14331859426322135,0.0254951364237945
VEN XR 367 (FDA),HAMD21,True,paroxetine,unpublished,80.0,-11.26,10.545710074911678,81.0,-13.1,10.627369045853287,26.13,26.6,-0.0076343957979708625,0.012579113924050634,-0.15135560749556157,0.17297900211597864,0.024704677782133068
Vartiainen1994 (MIR 84023 FDA),HAMD21,True,mirtazapine,1994,44.0,-10.9,9.7,45.0,-9.0,9.2,25.6,26.0,0.053186672067450355,0.02299154334038055,0.19153821189887874,-0.19931080683933972,0.044400002903852716
Versiani2000 (Study 091),HAMD21,False,reboxetine,2000,28.0,12.6,10.3,28.0,29.5,13.3,35.7,35.1,-0.25562013999211797,0.037037037037037035,-0.8506934493883419,-1.400945473461029,0.08711818575106695
WELL 029,HAMD21,False,bupropion,unpublished,21.0,15.5,8.026895688079302,18.0,15.2,8.026895688079302,26.6,26.2,-0.004411764705882351,0.054411764705882354,0.019544596072970346,0.036611607082031074,0.09902374825227343
WELL AK1A4006,HAMD21,True,fluoxetine,unpublished,146.0,-13.9,10.87,148.0,-12.2,9.73,25.3,25.2,0.11083972025305552,0.006849636406286653,0.13045288839743524,-0.1644349003081053,0.013582269284114268
WELL AK1A4006,HAMD21,True,bupropion,unpublished,151.0,-12.0,9.83,148.0,-12.2,9.73,25.6,25.2,0.010157010750277041,0.0067346938775510205,-0.01652930195121047,0.020396893251698446,0.013312426617777186
Wade2002 (ESC Study 99001 - FDA),MADRS,False,escitalopram,2002,188.0,14.3,9.1,189.0,16.7,9.1,29.2,28.7,1.4222323358743794e-05,0.005333371259528956,-0.15514918215684773,-0.26320843932585086,0.010659730008802031
Wellbutrin 06,HAMD21,False,bupropion,unpublished,48.0,14.9,7.582805938707398,27.0,19.6,7.58,28.5,29.3,-0.008222363246411778,0.02986906710310966,-0.27416835328505806,-0.613514243588751,0.05920851541987182
Wellbutrin 25,HAMD21,False,bupropion 300mg,unpublished,34.0,16.1,7.9,39.0,20.5,11.6,32.4,33.6,-0.38214871822467,0.028309409888357256,-0.24160561415394513,-0.43312054326668936,0.05518499993809954
Wellbutrin 25,HAMD21,False,bupropion 450mg,unpublished,36.0,15.1,10.5,39.0,20.5,11.6,34.8,33.6,-0.09850202139996911,0.027443609022556388,-0.3057301423234839,-0.4820691393534625,0.05388212928927072
Wilcox1994,HAMD17,False,amitriptyline,1994,39.0,11.7,7.52,42.0,17.4,7.52,23.8,23.5,0.0009627727856225919,0.025353016688061617,-0.3968813644167729,-0.7507598784194528,0.05201283795988904
Zajecka2010 (CAGO178A2301) (NCT00411099),HAMD17,False,agomelatine 25mg,2010,156.0,15.9,7.74,167.0,16.6,8.4,26.7,27.1,-0.08161625998879042,0.006237854644383988,-0.04308358613631179,-0.08634522114192629,0.01235192578309855
Zajecka2010 (CAGO178A2301) (NCT00411099),HAMD17,False,agomelatine 50mg,2010,161.0,14.1,7.74,167.0,16.6,8.4,27.1,27.1,-0.08171706644040332,0.006137048192771085,-0.16322789797837506,-0.3085862277428121,0.01228847392021004
Zhang2014,HAMD17,False,trazodone,2013,183.0,10.8,6.4,180.0,13.8,6.9,21.6,21.9,-0.07526946457972024,0.005540548836638222,-0.24512245803298496,-0.45001254657604906,0.011253584206120569
