study,year,drug,scale,n_rand,base_mean,n_end,end_mean,end_sd,notes,is_change
Guelfi1995 (VEN 600A-206 FDA),1995,placebo,HAMD21,47.0,28.6,47.0,23.8,11.4,,False
Dierick1996,1996,fluoxetine,HAMD17,161.0,26.6,161.0,12.399999618530273,8.88,,False
Dierick1996,1996,venlafaxine,HAMD17,153.0,27.0,153.0,10.699999809265137,9.899999618530273,,False
Lecrubier1997,1997,venlafaxine,MADRS,78.0,24.9,72.0,-16.93,8.216628821980935,,True
Lecrubier1997,1997,placebo,MADRS,76.0,24.2,76.0,-14.07,8.216628821980935,,True
Cunningham1997 (VEN XR 208 - FDA),1997,venlafaxine xr 75-150mg,HAMD21,97.0,24.4,92.0,-13.59,8.45,,True
Cunningham1997 (VEN XR 208 - FDA),1997,venlafaxine ir 75-150mg,HAMD21,96.0,23.98,87.0,-11.52,8.45,,True
Cunningham1997 (VEN XR 208 - FDA),1997,placebo,HAMD21,100.0,24.56,99.0,-9.3,8.45,,True
Thase1997 (VEN XR 209 FDA),1997,venlafaxine,HAMD21,95.0,24.53,91.0,-11.66,10.07674842387779,,True
Thase1997 (VEN XR 209 FDA),1997,placebo,HAMD21,102.0,23.63,100.0,-6.78,10.07674842387779,,True
Hackett1998,1998,fluvoxamine,MADRS,34.0,31.6,21.0,10.47,11.09,,False
Hackett1998,1998,venlafaxine,MADRS,77.0,32.2,59.0,8.98,8.09,,False
Costaesilva1998,1998,fluoxetine,HAMD17,186.0,29.700000762939453,186.0,10.199999809265137,7.52,,False
Costaesilva1998,1998,venlafaxine,HAMD17,196.0,30.399999618530273,196.0,9.800000190734863,7.52,,False
McPartlin1998,1998,paroxetine,HAMD17,178.0,23.0,161.0,-14.1,7.6,,True
McPartlin1998,1998,venlafaxine,HAMD17,183.0,23.0,175.0,-14.7,7.6,,True
Samuelian1998,1998,venlafaxine,HAMD21,52.0,27.8,51.0,15.3,10.7,,False
Samuelian1998,1998,clomipramine,HAMD21,50.0,27.8,46.0,16.8,10.9,,False
Khan1998,1998,venlafaxine 75mg,HAMD21,85.0,24.3,83.0,13.69,7.47,,False
Khan1998,1998,venlafaxine 150mg,HAMD21,90.0,24.5,89.0,14.99,7.45,,False
Khan1998,1998,venlafaxine 200mg,HAMD21,83.0,24.8,81.0,13.16,7.47,,False
Khan1998,1998,placebo,HAMD21,95.0,25.1,93.0,17.25,7.43,,False
Rudolph1998 (VEN 600A-203 (FDA),1998,venlafaxine 75mg,HAMD21,89.0,26.0,77.0,-11.1,9.76027024576735,,True
Rudolph1998 (VEN 600A-203 (FDA),1998,venlafaxine 225mg,HAMD21,89.0,26.0,79.0,-11.9,10.122652579701635,,True
Rudolph1998 (VEN 600A-203 (FDA),1998,venlafaxine 375mg,HAMD21,88.0,24.9,75.0,-10.5,8.943767972320776,,True
Rudolph1998 (VEN 600A-203 (FDA),1998,placebo,HAMD21,92.0,25.3,92.0,-6.7,9.608896932596586,,True
Alves1999,1999,fluoxetine,HAMD21,47.0,26.899999618530273,47.0,10.55,8.59,,False
Alves1999,1999,venlafaxine,HAMD21,40.0,27.899999618530273,40.0,8.31,8.59,,False
Rudolph1999,1999,fluoxetine,HAMD21,103.0,26.0,103.0,14.199999809265137,8.19,,False
Rudolph1999,1999,venlafaxine,HAMD21,100.0,25.0,95.0,12.5,8.1,,False
Rudolph1999,1999,placebo,HAMD21,98.0,25.0,97.0,14.8,7.94,,False
Silverstone1999,1999,fluoxetine,HAMD21,121.0,27.2,119.0,13.4,7.943996630131091,,False
Silverstone1999,1999,venlafaxine,HAMD21,128.0,27.2,122.0,13.0,7.903250361996383,,False
Silverstone1999,1999,placebo,HAMD21,119.0,27.2,118.0,16.4,7.923393954612329,,False
Tzanakaki2000,2000,fluoxetine,HAMD21,54.0,27.100000381469727,50.0,12.5,8.59,,False
Tzanakaki2000,2000,venlafaxine,HAMD21,55.0,27.799999237060547,54.0,11.7,8.59,,False
Gentil2000,2000,venlafaxine,HAMD21,57.0,23.9,57.0,9.29,7.4,,False
Gentil2000,2000,amitriptyline,HAMD21,59.0,24.5,58.0,7.4,6.16,,False
Sauer2003,2003,venlafaxine,HAMD21,79.0,23.6,76.0,13.1,6.2,,False
Sauer2003,2003,amitriptyline,HAMD21,77.0,23.64,75.0,13.27,6.5,,False
Allard2004,2004,citalopram,MADRS,75.0,27.0,75.0,11.5,7.4,,False
Allard2004,2004,venlafaxine,MADRS,76.0,27.6,73.0,12.0,7.7,,False
Schatzberg2006a,2006,fluoxetine,HAMD21,100.0,24.0,99.0,16.3,8.59,,False
Schatzberg2006a,2006,venlafaxine,HAMD21,104.0,24.0,93.0,14.8,8.59,,False
Schatzberg2006a,2006,placebo,HAMD21,96.0,23.0,96.0,14.8,8.59,,False
Nemeroff2007,2007,fluoxetine,HAMD21,104.0,23.7,100.0,13.9,8.59,,False
Nemeroff2007,2007,venlafaxine,HAMD21,102.0,23.5,96.0,12.2,8.59,,False
Nemeroff2007,2007,placebo,HAMD21,102.0,23.7,101.0,14.8,8.59,,False
Keller2007 (NCT00046020),2007,fluoxetine,HAMD17,275.0,23.0,266.0,8.9,6.52,,False
Keller2007 (NCT00046020),2007,venlafaxine,HAMD17,821.0,22.6,781.0,9.2,8.38,,False
Sheehan2009a,2009,fluoxetine,HAMD21,99.0,29.5,99.0,18.09,8.89,,False
Sheehan2009a,2009,venlafaxine,HAMD21,95.0,29.9,91.0,15.59,9.81,,False
Sheehan2009a,2009,placebo,HAMD21,95.0,29.4,95.0,18.4,9.2,,False
"Learned2012a Study1 (EUCTR2005-003401-87, SND103285, NCT00448058)",2012,venlafaxine,HAMD17,134.0,,133.0,-14.0,6.36,base_mean:flagged-or-absent:*,True
"Learned2012a Study1 (EUCTR2005-003401-87, SND103285, NCT00448058)",2012,placebo,HAMD17,126.0,,126.0,-12.7,7.68,base_mean:flagged-or-absent:*,True
Higuchi 2014(NCT01441440),2016,venlafaxine 75mg,HAMD17,174.0,,174.0,-10.76,6.59545297913646,base_mean:flagged-or-absent:*,True
Higuchi 2014(NCT01441440),2016,venlafaxine 75-225mg,HAMD17,180.0,,177.0,-10.37,6.519026000868535,base_mean:flagged-or-absent:*,True
Higuchi 2014(NCT01441440),2016,placebo,HAMD17,184.0,,184.0,-9.25,6.511036783800257,base_mean:flagged-or-absent:*,True
Heller2009(NCT00909155),2009,venlafaxine,HAMD21,15.0,20.07,15.0,8.86,4.5,,False
Heller2009(NCT00909155),2009,fluoxetine,HAMD21,14.0,21.36,14.0,10.15,4.52,,False
Chang 2015,2015,fluoxetine,HAMD21,58.0,24.3,58.0,8.0,7.7,,False
Chang 2015,2015,venlafaxine,HAMD21,54.0,25.9,54.0,8.7,8.3,,False
Rickels2009 (GNSC-04-DP-02 FDA) (NCT00285376),2009,vilazodone,HAMD17,205.0,24.8,198.0,-10.4,8.44,,True
Rickels2009 (GNSC-04-DP-02 FDA) (NCT00285376),2009,placebo,HAMD17,205.0,24.9,199.0,-8.6,8.46,,True
Khan2011 (CLDA-07-DP-02 FDA) (NCT00683592),2011,vilazodone,HAMD17,240.0,25.0,231.0,-10.7,10.64,,True
Khan2011 (CLDA-07-DP-02 FDA) (NCT00683592),2011,placebo,HAMD17,241.0,25.3,232.0,-9.1,10.66,,True
FDA 245 (EMD 68 843-010),unpublished,vilazodone,HAMD17,104.0,23.8,104.0,-9.7,7.138627319029898,,True
FDA 245 (EMD 68 843-010),unpublished,fluoxetine,HAMD17,92.0,23.5,92.0,-11.1,7.673330437300351,,True
FDA 245 (EMD 68 843-010),unpublished,placebo,HAMD17,99.0,23.4,99.0,-10.2,7.95989949685296,,True
FDA 246 (SB 659746-003),unpublished,vilazodone 10mg,HAMD17,120.0,23.8,120.0,13.0,7.52,,False
FDA 246 (SB 659746-003),unpublished,vilazodone 20mg,HAMD17,123.0,23.7,121.0,12.6,7.52,,False
FDA 246 (SB 659746-003),unpublished,citalopram,HAMD17,117.0,23.1,115.0,12.3,7.52,,False
FDA 246 (SB 659746-003),unpublished,placebo,HAMD17,129.0,23.3,128.0,13.1,7.52,,False
FDA 247 (SB 659746-014),unpublished,vilazodone,HAMD17,109.0,23.3,107.0,12.8,5.99349032179527,,False
FDA 247 (SB 659746-014),unpublished,placebo,HAMD17,111.0,23.5,110.0,13.7,5.99349032179527,,False
FDA 248 (SB 659746-002),unpublished,vilazodone 10mg,HAMD17,133.0,24.5,133.0,11.7,7.52,,False
FDA 248 (SB 659746-002),unpublished,vilazodone 20mg,HAMD17,132.0,24.3,132.0,12.6,7.52,,False
FDA 248 (SB 659746-002),unpublished,placebo,HAMD17,128.0,23.7,128.0,12.2,7.52,,False
Croft2014 (NCT01473394),2014,vilazodone,MADRS,260.0,30.6,253.0,14.6,11.13,,False
Croft2014 (NCT01473394),2014,placebo,MADRS,258.0,30.9,252.0,20.1,11.11,,False
Mathews2015 (NCT01473381),2015,vilazodone 20mg,MADRS,292.0,31.0,288.0,-16.4579606440072,9.96,,True
Mathews2015 (NCT01473381),2015,vilazodone 40mg,MADRS,291.0,30.8,284.0,-17.3524150268336,9.96,,True
Mathews2015 (NCT01473381),2015,placebo,MADRS,290.0,31.3,281.0,-14.3112701252236,9.96,,True
Mathews2015 (NCT01473381),2015,citalopram,MADRS,289.0,31.1,280.0,-16.5,9.96,,True
Pomara2013,2013,vilazodone,MADRS,255.0,,255.0,-16.1,9.96,base_mean:flagged-or-absent:*,True
Pomara2013,2013,placebo,MADRS,253.0,,253.0,-11.0,9.96,base_mean:flagged-or-absent:*,True
"Boulenger2014 (13267A, NCT01140906)",2014,placebo,MADRS,158.0,31.5,158.0,-11.7,9.553051868382166,,True
"Boulenger2014 (13267A, NCT01140906)",2014,vortioxetine 15mg,MADRS,152.0,31.8,149.0,-17.23,9.643178936429624,,True
"Boulenger2014 (13267A, NCT01140906)",2014,vortioxetine 20mg,MADRS,151.0,31.2,151.0,-18.79,9.584800467406716,,True
"Boulenger2014 (13267A, NCT01140906)",2014,duloxetine,MADRS,147.0,31.2,146.0,-21.15,9.303945399667821,,True
"Jacobsen2015 (316, NCT01163266)",2015,placebo,MADRS,157.0,32.0,139.0,-10.77,9.514389680899138,,True
"Jacobsen2015 (316, NCT01163266)",2015,vortioxetine 10mg,MADRS,155.0,32.3,124.0,-12.96,9.264759899749155,,True
"Jacobsen2015 (316, NCT01163266)",2015,vortioxetine 20mg,MADRS,150.0,32.4,122.0,-14.41,9.333330059523236,,True
"Mahableshwarkar2015a (315, NCT01153009)",2015,placebo,MADRS,161.0,31.6,129.0,-12.83,9.472419120794855,,True
"Mahableshwarkar2015a (315, NCT01153009)",2015,vortioxetine 15mg,MADRS,147.0,31.9,113.0,-14.3,9.460829773333838,,True
"Mahableshwarkar2015a (315, NCT01153009)",2015,vortioxetine 20mg,MADRS,154.0,32.0,112.0,-15.57,9.31304461494736,,True
"Mahableshwarkar2015a (315, NCT01153009)",2015,duloxetine,MADRS,152.0,32.9,115.0,-16.9,9.47984388057103,,True
"Mahableshwarkar2015b (317, NCT01179516)",2015,placebo,MADRS,160.0,33.4,126.0,-12.87,11.707645963215661,,True
"Mahableshwarkar2015b (317, NCT01179516)",2015,vortioxetine 10mg,MADRS,157.0,34.1,123.0,-13.66,11.800330842819621,,True
"Mahableshwarkar2015b (317, NCT01179516)",2015,vortioxetine 15mg,MADRS,152.0,33.7,113.0,-13.36,11.554968498442564,,True
"NCT01355081(japicCTI-111492, U1111-1120-9277)",Unpublished,vortioxetine 5mg,HAMD17,119.0,20.9,119.0,-9.56,6.392505299176528,,True
"NCT01355081(japicCTI-111492, U1111-1120-9277)",Unpublished,vortioxetine 10mg,HAMD17,123.0,21.2,121.0,-8.54,6.38,,True
"NCT01355081(japicCTI-111492, U1111-1120-9277)",Unpublished,placebo,HAMD17,124.0,21.5,122.0,-8.4,6.3842186679342365,,True
"NCT01255787 (EUCTR2010-022257-41, Lu AA21004/CCT-002, U1111-1117-6595, JapicCTI-101344, CTRI/2011/08/001963)",Unpublished,placebo,MADRS,152.0,31.6,150.0,-13.99,9.589752342996142,,True
"NCT01255787 (EUCTR2010-022257-41, Lu AA21004/CCT-002, U1111-1117-6595, JapicCTI-101344, CTRI/2011/08/001963)",Unpublished,vortioxetine 5mg,MADRS,144.0,31.6,142.0,-14.61,9.592682106689454,,True
"NCT01255787 (EUCTR2010-022257-41, Lu AA21004/CCT-002, U1111-1117-6595, JapicCTI-101344, CTRI/2011/08/001963)",Unpublished,vortioxetine 10mg,MADRS,150.0,31.8,147.0,-15.68,9.590365321508873,,True
"NCT01255787 (EUCTR2010-022257-41, Lu AA21004/CCT-002, U1111-1117-6595, JapicCTI-101344, CTRI/2011/08/001963)",Unpublished,vortioxetine 20mg,MADRS,154.0,31.7,149.0,-15.82,9.59435271396669,,True
McIntyre2014 (NCT01422213),2014,placebo,MADRS,198.0,31.34,165.0,-10.85,8.220948850345684,,True
McIntyre2014 (NCT01422213),2014,vortioxetine 10mg,MADRS,197.0,31.62,174.0,-15.56,8.31027075371194,,True
McIntyre2014 (NCT01422213),2014,vortioxetine 20mg,MADRS,207.0,31.74,181.0,-17.55,8.3412469091857,,True
"Wang2015 (NCT01571453, KCT0000432, 13926A)",2015,vortioxetine,MADRS,213.0,32.3,209.0,-19.36,10.119782606360673,,True
"Wang2015 (NCT01571453, KCT0000432, 13926A)",2015,venlafaxine,MADRS,230.0,32.3,215.0,-18.16,9.970757243058323,,True
Mahableshwarkar2015c (NCT01564862),2015,vortioxetine,MADRS,198.0,31.4,175.0,-14.8,9.260129588726066,,True
Mahableshwarkar2015c (NCT01564862),2015,duloxetine,MADRS,210.0,31.7,187.0,-15.8,9.57235603182414,,True
Mahableshwarkar2015c (NCT01564862),2015,placebo,MADRS,194.0,31.9,167.0,-12.5,9.045993588324059,,True
