study,year,drug,scale,n_rand,base_mean,n_end,end_mean,end_sd,notes,is_change
Higuchi2009,2009,duloxetine 40mg,HAMD17,75.0,20.6,73.0,-10.5,5.7,,True
Higuchi2009,2009,duloxetine 60mg,HAMD17,75.0,20.4,74.0,-10.0,6.4,,True
Higuchi2009,2009,paroxetine,HAMD17,148.0,20.4,148.0,-9.4,6.9,,True
Higuchi2009,2009,placebo,HAMD17,146.0,20.4,145.0,-8.3,5.8,,True
Cutler2009,2009,duloxetine,HAMD17,151.0,25.2,141.0,-12.37,9.17,,True
Cutler2009,2009,placebo,HAMD17,157.0,25.2,152.0,-10.26,9.17,,True
NCT01145755,unpublished,duloxetine,MADRS,47.0,,45.0,-14.03,13.215161747023757,base_mean:flagged-or-absent:*,True
NCT01145755,unpublished,placebo,MADRS,44.0,,40.0,-14.16,13.6610394919274,base_mean:flagged-or-absent:*,True
Hao2014,2014,duloxetine,HAMD17,140.0,23.7,127.0,-13.8,6.6,,True
Hao2014,2014,paroxetine,HAMD17,141.0,23.7,132.0,-12.0,7.1,,True
Lepola2003 (ESC 99003),2001,escitalopram,MADRS,156.0,29.0,155.0,-15.0,8.71,,True
Lepola2003 (ESC 99003),2001,citalopram,MADRS,161.0,29.2,159.0,-13.6,8.83,,True
Lepola2003 (ESC 99003),2001,placebo,MADRS,154.0,28.7,154.0,-12.1,8.69,,True
Ninan2003 (poster SCT-MD-26),unpublished,escitalopram,MADRS,154.0,30.4,143.0,-13.3,10.76,,True
Ninan2003 (poster SCT-MD-26),unpublished,placebo,MADRS,155.0,30.5,151.0,-10.0,11.06,,True
