study,domain,instrument,outcome,ctrl_cat,dlogmean_ctl,dlogsd_ctl,dlogmean_mbp,dlogsd_mbp,predicted_dlogsd_mbp,residual
Frisvold 2009,Mindfulness,CAMS-R,Mindfulness,active-nonspecific,0.0021189655272212484,0.001448226176364748,0.08998132131001212,-0.08475250997990172,0.09460353338901419,-0.17935604336891592
Frisvold 2009,Psychosomatic outcomes,PSQI,Sleep quality,active-nonspecific,0.03922071315328133,0.37538765287088643,-0.0820203887814743,-0.030930300691358614,0.0072994097866437915,-0.0382297104780024
Duncan 2017,Depression,CES-D,Depression,active-nonspecific,0.22800974096538285,0.17185025692665903,-0.349051018828073,-0.6931471805599453,-0.12823921432823943,-0.5649079662317058
Duncan 2017,Mindfulness,FFMQ,Mindfulness,active-nonspecific,0.02817087696669644,0.31237468504215243,0.028987536873252406,-0.28768207245178107,0.0636444871527246,-0.35132655960450565
Duncan 2017,Psychosomatic outcomes,Pain Catastrophizing Scale,Maladaptive pain appraisal,active-nonspecific,-0.010752791776261737,0.023530497410194036,-0.21640951913286569,-0.5232481437645479,-0.06091343089251221,-0.46233471287203565
Duncan 2017,Relationship with self,Childbirth Self-Efficacy Inventory,Childbirth self-efficacy,active-nonspecific,0.07186086164344271,-0.3251084779708978,0.38774389886339466,-0.7401041636477163,0.24574098929601584,-0.9858451529437321
Whitebird 2013,Depression,CES-D,Depression,active-specific,-0.11583181552512158,-0.05218575317057031,-0.5239467117286878,-0.05781957088882625,-0.21701225723808004,0.1591926863492538
Whitebird 2013,Distress,PSS-10,Perceived stress,active-specific,-0.09389608576712682,0.013245226750020505,-0.33270575382573614,0.21029540883636075,-0.11994273265187412,0.3302381414882349
Whitebird 2013,Real life functioning," Montgomery Borgatta Caregiver Burden Scale, Subjective stre",Caregiver burden,active-specific,-0.08004270767353637,0.03509131981127019,-0.10735851832049927,0.0,-0.005561643699111066,0.005561643699111066
MacCoon 2012,Mindfulness,FFMQ,Mindfulness,active-specific,0.07162924972811922,-0.2805662384549454,0.07361601955739273,0.14096637111204063,0.0862968815176995,0.054669489594341134
Wong 2018,Distress,PSS,Perceived stress,active-specific,-0.0240888872315507,0.14822553456374343,-0.08983863360855802,0.011188927917805822,0.003331048004808837,0.007857879912996985
Wong 2018,Mindfulness,FFMQ subscales,Mindfulness,active-specific,0.013224884526004467,0.0033545821461530415,0.02122599103157027,-0.06013293943334259,0.05970490447562643,-0.11983784390896901
Wong 2018,Psychosomatic outcomes,Greene Climacteric Scale,menopause-related symptoms,active-specific,-0.1352090889822444,0.06827405032265875,-0.18966243269075891,-0.012789156116321447,-0.047337223193746086,0.03454806707742464
Kingston 2007,Distress,PANAS  in the past week,Negative affect,active-specific,-0.06419315763905968,0.05480823649499516,0.043802622658393055,0.2578291093020997,0.07116428494937255,0.18666482435272713
Kingston 2007,Mental wellbeing,PANAS  in the past week,Positive affect,active-specific,0.012345835822299141,0.13133600206108714,0.04800921918636066,0.0,0.07329945687892864,-0.07329945687892864
Kingston 2007,Mindfulness,,Mindfulness,active-specific,0.00924505814405099,0.3150810466398953,0.07247264881299108,-0.2006706954621511,0.08571653274826295,-0.28638722821041407
